year,date,revenue
2015,2015-01-13,21150.222277999997
2015,2015-01-14,21542.991241999996
2015,2015-01-15,21524.216174999994
2015,2015-01-16,21610.661965000003
2015,2015-01-17,21794.755237999998
2015,2015-01-18,20053.005843
2015,2015-01-19,22702.657324
2015,2015-01-20,20892.053274000005
2015,2015-01-21,21851.163133000002
2015,2015-01-22,20652.373665
2015,2015-01-23,21050.009926
2015,2015-01-24,22113.970509999996
2015,2015-01-25,18106.599532999997
2015,2015-01-26,21054.583817000002
2015,2015-01-27,21420.880384
2015,2015-01-28,21428.556504
2015,2015-01-29,21817.839347
2015,2015-01-30,20579.830852
2015,2015-01-31,20207.06959599999
2015,2015-02-01,16269.840629
2015,2015-02-02,19315.382739000004
2015,2015-02-03,19807.543336000002
2015,2015-02-04,21065.522268999994
2015,2015-02-05,22212.548937
2015,2015-02-06,22073.674610999995
2015,2015-02-07,23354.578938999995
2015,2015-02-08,20605.807634999997
2015,2015-02-09,23842.185545
2015,2015-02-10,22499.155854999994
2015,2015-02-11,22802.289036
2015,2015-02-12,23210.470921999997
2015,2015-02-13,22778.159177
2015,2015-02-14,22957.841216000004
2015,2015-02-15,20912.326635000005
2015,2015-02-16,25786.279319999998
2015,2015-02-17,23883.609019999993
2015,2015-02-18,23828.47847
2015,2015-02-19,23828.536864
2015,2015-02-20,23972.676061000006
2015,2015-02-21,24068.217646
2015,2015-02-22,21009.168410000002
2015,2015-02-23,25218.859108549997
2015,2015-02-24,24416.761179
2015,2015-02-25,23727.927269999996
2015,2015-02-26,23209.200475999995
2015,2015-02-27,23039.362648
2015,2015-02-28,22178.034623
2015,2015-03-01,18940.581942
2015,2015-03-02,21332.753281000005
2015,2015-03-03,20684.524764
2015,2015-03-04,20531.986358000002
2015,2015-03-05,19741.538516
2015,2015-03-06,20105.807372000007
2015,2015-03-07,20660.582843
2015,2015-03-08,17560.845544999996
2015,2015-03-09,21893.077686
2015,2015-03-10,20760.025897999996
2015,2015-03-11,21095.192978000006
2015,2015-03-12,21123.11382
2015,2015-03-13,20928.975638999997
2015,2015-03-14,21647.580307999997
2015,2015-03-15,18500.167229000002
2015,2015-03-16,22481.866990999995
2015,2015-03-17,20825.168952999997
2015,2015-03-18,21815.776004999996
2015,2015-03-19,21871.994770000005
2015,2015-03-20,21963.091496999998
2015,2015-03-21,22009.554271999998
2015,2015-03-22,19141.473645999991
2015,2015-03-23,22899.024273999996
2015,2015-03-24,21560.217638999995
2015,2015-03-25,22537.450102
2015,2015-03-26,21766.597829999995
2015,2015-03-27,22668.647380000002
2015,2015-03-28,21820.436992999996
2015,2015-03-29,17575.460961
2015,2015-03-30,21449.148629000003
2015,2015-03-31,17589.600625000003
2015,2015-04-01,19295.438466
2015,2015-04-02,20037.680586000002
2015,2015-04-03,21263.277600999994
2015,2015-04-04,20663.853755000004
2015,2015-04-05,16385.801475000004
2015,2015-04-06,23231.947662
2015,2015-04-07,22316.272929999996
2015,2015-04-08,21788.258884
2015,2015-04-09,21207.569525
2015,2015-04-10,21827.869926999996
2015,2015-04-11,21441.643655000007
2015,2015-04-12,17941.690591000002
2015,2015-04-13,23636.74334400001
2015,2015-04-14,22424.136663999998
2015,2015-04-15,22414.249142999997
2015,2015-04-16,22836.840429999997
2015,2015-04-17,22056.217854
2015,2015-04-18,21571.952380000002
2015,2015-04-19,19219.913099
2015,2015-04-20,24674.517616999998
2015,2015-04-21,23528.014199999991
2015,2015-04-22,23469.496827
2015,2015-04-23,24801.396631999996
2015,2015-04-24,23670.678103999995
2015,2015-04-25,24061.812524
2015,2015-04-26,20502.671232999997
2015,2015-04-27,25091.602027
2015,2015-04-28,23244.509694999997
2015,2015-04-29,22151.440627999997
2015,2015-04-30,19510.630781000003
2015,2015-05-01,21228.477483000002
2015,2015-05-02,19869.773286
2015,2015-05-03,17645.919509
2015,2015-05-04,23699.974634999995
2015,2015-05-05,23081.810341999997
2015,2015-05-06,22998.552607999991
2015,2015-05-07,22015.116377999992
2015,2015-05-08,21525.068592
2015,2015-05-09,21025.735765999998
2015,2015-05-10,17412.850825999998
2015,2015-05-11,25439.037065999997
2015,2015-05-12,23962.15356
2015,2015-05-13,23453.648143999995
2015,2015-05-14,23215.295488
2015,2015-05-15,22861.718794999997
2015,2015-05-16,22380.094716999993
2015,2015-05-17,19324.683193999997
2015,2015-05-18,25443.426755000004
2015,2015-05-19,24899.804050000002
2015,2015-05-20,24328.380578999997
2015,2015-05-21,23993.907406000006
2015,2015-05-22,23570.173359
2015,2015-05-23,22321.388283
2015,2015-05-24,18410.584508
2015,2015-05-25,23846.705509999993
2015,2015-05-26,25493.488274999996
2015,2015-05-27,24274.795643
2015,2015-05-28,23448.800474000003
2015,2015-05-29,22388.233079
2015,2015-05-30,20368.702654999994
2015,2015-05-31,16482.296585000004
2015,2015-06-01,26127.057994
2015,2015-06-02,24849.060359000003
2015,2015-06-03,23328.614789
2015,2015-06-04,22524.192680999997
2015,2015-06-05,21838.794723000003
2015,2015-06-06,21718.876331999996
2015,2015-06-07,18707.085789
2015,2015-06-08,25420.905425999998
2015,2015-06-09,25850.608268999986
2015,2015-06-10,25699.214462000004
2015,2015-06-11,25578.486140999998
2015,2015-06-12,25626.764097
2015,2015-06-13,24027.40808
2015,2015-06-14,20134.344935
2015,2015-06-15,27667.859378
2015,2015-06-16,26057.573835
2015,2015-06-17,25631.465732999997
2015,2015-06-18,25555.261814999998
2015,2015-06-19,24968.770746999995
2015,2015-06-20,23012.258361000007
2015,2015-06-21,19751.809741000005
2015,2015-06-22,28623.428171000007
2015,2015-06-23,26971.328477000006
2015,2015-06-24,26242.317394
2015,2015-06-25,25403.158765
2015,2015-06-26,23788.528513
2015,2015-06-27,22676.603044
2015,2015-06-28,19348.153979999995
2015,2015-06-29,24746.558298999997
2015,2015-06-30,19293.638764
2015,2015-07-01,20298.695021999996
2015,2015-07-02,23017.032433999997
2015,2015-07-03,22494.791072
2015,2015-07-04,19406.392789
2015,2015-07-05,19160.704065
2015,2015-07-06,25852.330740999994
2015,2015-07-07,24698.241830000003
2015,2015-07-08,24675.303803
2015,2015-07-09,23480.111637000005
2015,2015-07-10,23853.459209999994
2015,2015-07-11,22465.813813
2015,2015-07-12,19233.833502
2015,2015-07-13,27227.909739000006
2015,2015-07-14,25634.179227
2015,2015-07-15,24853.442507000003
2015,2015-07-16,24189.696196999997
2015,2015-07-17,24275.527467
2015,2015-07-18,23279.944744
2015,2015-07-19,19783.920980000003
2015,2015-07-20,27279.035288000006
2015,2015-07-21,26749.94413399999
2015,2015-07-22,27185.782636
2015,2015-07-23,26386.29309
2015,2015-07-24,26472.365811
2015,2015-07-25,23987.088720999996
2015,2015-07-26,20479.321218999998
2015,2015-07-27,27299.892075000003
2015,2015-07-28,25905.890218
2015,2015-07-29,22948.238868999997
2015,2015-07-30,20608.284167
2015,2015-07-31,16844.123064
2015,2015-08-01,20439.813924999995
2015,2015-08-02,18697.203338
2015,2015-08-03,26405.517850999997
2015,2015-08-04,25918.514481999995
2015,2015-08-05,24743.335045999997
2015,2015-08-06,24101.281884000004
2015,2015-08-07,24705.875333000007
2015,2015-08-08,24708.757502999997
2015,2015-08-09,19862.911914999997
2015,2015-08-10,27537.54273
2015,2015-08-11,26113.080479999997
2015,2015-08-12,24694.405688000003
2015,2015-08-13,24979.596334999995
2015,2015-08-14,25080.048162999996
2015,2015-08-15,23894.683929000003
2015,2015-08-16,19399.216904999994
2015,2015-08-17,27271.522936999994
2015,2015-08-18,25784.012807000003
2015,2015-08-19,25256.212173
2015,2015-08-20,24364.926369999997
2015,2015-08-21,23514.998260999993
2015,2015-08-22,23423.580957
2015,2015-08-23,19806.862221999996
2015,2015-08-24,26331.180117000004
2015,2015-08-25,24252.960022
2015,2015-08-26,23936.184903999998
2015,2015-08-27,23559.308982
2015,2015-08-28,22715.030183999996
2015,2015-08-29,22837.610892
2015,2015-08-30,18083.627983
2015,2015-08-31,21213.100383999998
2015,2015-09-01,22535.103758000005
2015,2015-09-02,24884.703854
2015,2015-09-03,25282.964939999998
2015,2015-09-04,25452.533346999993
2015,2015-09-05,24251.999784999996
2015,2015-09-06,20097.883753
2015,2015-09-07,25861.847028999997
2015,2015-09-08,25469.505901999997
2015,2015-09-09,24129.057279999997
2015,2015-09-10,23921.165762
2015,2015-09-11,23364.426845999995
2015,2015-09-12,24343.052324999997
2015,2015-09-13,20357.568215000003
2015,2015-09-14,27109.918778
2015,2015-09-15,26165.36691
2015,2015-09-16,25279.629161999997
2015,2015-09-17,25957.084978
2015,2015-09-18,25605.982568
2015,2015-09-19,24018.971550000002
2015,2015-09-20,20147.29171
2015,2015-09-21,28804.609793
2015,2015-09-22,27951.613220000003
2015,2015-09-23,28288.811106999998
2015,2015-09-24,29386.309375999997
2015,2015-09-25,25883.055894
2015,2015-09-26,23831.458962999997
2015,2015-09-27,20675.066311000006
2015,2015-09-28,26600.769519999998
2015,2015-09-29,25481.312365
2015,2015-09-30,20933.182702
2015,2015-10-01,21947.836725999998
2015,2015-10-02,22560.138325
2015,2015-10-03,23359.770087000004
2015,2015-10-04,18414.309548
2015,2015-10-05,25528.117876999997
2015,2015-10-06,24723.987200999996
2015,2015-10-07,25436.705707
2015,2015-10-08,24874.952803
2015,2015-10-09,23606.126675000003
2015,2015-10-10,21876.967400999998
2015,2015-10-11,17906.409729
2015,2015-10-12,25807.542722000002
2015,2015-10-13,24224.358932
2015,2015-10-14,23855.369009
2015,2015-10-15,24012.798694999998
2015,2015-10-16,23250.882979999995
2015,2015-10-17,22115.183290999994
2015,2015-10-18,17947.918739999997
2015,2015-10-19,25352.747760000002
2015,2015-10-20,23573.960058999994
2015,2015-10-21,23416.311459
2015,2015-10-22,22942.077886
2015,2015-10-23,22479.098850000002
2015,2015-10-24,22905.327241
2015,2015-10-25,18362.788875
2015,2015-10-26,24503.794685999997
2015,2015-10-27,23364.400331999994
2015,2015-10-28,25215.627989
2015,2015-10-29,23447.214472
2015,2015-10-30,20406.647426
2015,2015-10-31,16736.205553
2015,2015-11-01,17438.874247000003
2015,2015-11-02,26337.910328999995
2015,2015-11-03,27159.185109000005
2015,2015-11-04,28668.132902999994
2015,2015-11-05,28715.311393000004
2015,2015-11-06,29455.815773
2015,2015-11-07,30614.242477999996
2015,2015-11-08,27020.970334999998
2015,2015-11-09,37397.636725
2015,2015-11-10,33753.365861
2015,2015-11-11,34096.780777
2015,2015-11-12,34123.152430999995
2015,2015-11-13,33401.339515
2015,2015-11-14,33361.019486
2015,2015-11-15,28945.486226000008
2015,2015-11-16,37068.456351000008
2015,2015-11-17,34988.589855
2015,2015-11-18,34775.178045999994
2015,2015-11-19,33843.146434000009
2015,2015-11-20,33561.25450399999
2015,2015-11-21,34813.984699
2015,2015-11-22,29083.641085
2015,2015-11-23,37001.917089
2015,2015-11-24,35705.802437000006
2015,2015-11-25,33549.765084
2015,2015-11-26,28522.794786
2015,2015-11-27,38863.286820999994
2015,2015-11-28,35640.358809000005
2015,2015-11-29,30436.175174000004
2015,2015-11-30,32594.830017
2015,2015-12-01,34671.056150000004
2015,2015-12-02,33000.627058000005
2015,2015-12-03,32496.584672999994
2015,2015-12-04,32544.404629999994
2015,2015-12-05,33739.974500000004
2015,2015-12-06,28648.951443000009
2015,2015-12-07,34801.471298000004
2015,2015-12-08,34035.287703
2015,2015-12-09,34263.367968000006
2015,2015-12-10,34936.964136999995
2015,2015-12-11,33680.656555000009
2015,2015-12-12,34259.572156999995
2015,2015-12-13,29748.037727999996
2015,2015-12-14,37685.549654999995
2015,2015-12-15,36420.418022999991
2015,2015-12-16,35440.252271
2015,2015-12-17,35431.681116
2015,2015-12-18,34306.96286
2015,2015-12-19,36069.257280999991
2015,2015-12-20,31117.481533000009
2015,2015-12-21,40265.177633
2015,2015-12-22,38859.702328
2015,2015-12-23,36286.857760000006
2015,2015-12-24,29016.206059999993
2015,2015-12-25,27668.849011999995
2015,2015-12-26,39589.740562000006
2015,2015-12-27,35423.206565
2015,2015-12-28,47362.88008
2015,2015-12-29,42111.458966
2015,2015-12-30,38054.4673
2015,2015-12-31,24918.125445999995
2016,2016-01-01,24466.400482
2016,2016-01-02,26327.833521
2016,2016-01-03,21743.639269999985
2016,2016-01-04,26707.932119000008
2016,2016-01-05,26292.603379999993
2016,2016-01-06,25194.834920999994
2016,2016-01-07,24267.053175999998
2016,2016-01-08,24180.223963
2016,2016-01-09,24187.244126999998
2016,2016-01-10,21336.914929
2016,2016-01-11,24848.985350999996
2016,2016-01-12,22749.903745000003
2016,2016-01-13,22397.620013999996
2016,2016-01-14,23647.307784999997
2016,2016-01-15,23260.101264000004
2016,2016-01-16,24628.708175999993
2016,2016-01-17,20952.151085
2016,2016-01-18,25498.218092000003
2016,2016-01-19,23902.893302999997
2016,2016-01-20,23530.518916999998
2016,2016-01-21,23119.789357999995
2016,2016-01-22,22700.648954999997
2016,2016-01-23,22601.868983999997
2016,2016-01-24,20055.582866999997
2016,2016-01-25,24398.698398999994
2016,2016-01-26,23864.987620000004
2016,2016-01-27,24308.111833999996
2016,2016-01-28,24504.198279999997
2016,2016-01-29,23177.616875999996
2016,2016-01-30,24628.112347
2016,2016-01-31,18701.969456000003
2016,2016-02-01,27034.269434999991
2016,2016-02-02,26134.251979
2016,2016-02-03,25528.195646000004
2016,2016-02-04,24801.024461999994
2016,2016-02-05,24908.550811
2016,2016-02-06,24901.176899000002
2016,2016-02-07,20388.425501999991
2016,2016-02-08,28422.635443
2016,2016-02-09,27565.769297
2016,2016-02-10,27140.078614
2016,2016-02-11,27121.445251999998
2016,2016-02-12,27117.729380999997
2016,2016-02-13,26325.563639000007
2016,2016-02-14,21770.422722999992
2016,2016-02-15,30513.77599699999
2016,2016-02-16,26855.543133999996
2016,2016-02-17,26263.408484
2016,2016-02-18,26646.861955999997
2016,2016-02-19,28205.899150999998
2016,2016-02-20,27013.627006000006
2016,2016-02-21,22891.060261000002
2016,2016-02-22,29448.039743
2016,2016-02-23,27772.973206
2016,2016-02-24,26914.948961999995
2016,2016-02-25,26309.884612000005
2016,2016-02-26,26015.114121999995
2016,2016-02-27,26386.398877999996
2016,2016-02-28,21582.327352000004
2016,2016-02-29,24582.005829999995
2016,2016-03-01,26064.126135999995
2016,2016-03-02,25179.415784999997
2016,2016-03-03,24317.335893000003
2016,2016-03-04,24864.640311871186
2016,2016-03-05,24810.224894731004
2016,2016-03-06,20397.2462912099
2016,2016-03-07,26963.759762564983
2016,2016-03-08,25933.169541333737
2016,2016-03-09,25792.198323855035
2016,2016-03-10,25720.898135847161
2016,2016-03-11,25280.83809592032
2016,2016-03-12,24562.251842326921
2016,2016-03-13,20584.69742746912
2016,2016-03-14,28548.42163833942
2016,2016-03-15,27242.437163534974
2016,2016-03-16,25855.43127256132
2016,2016-03-17,25911.714586320384
2016,2016-03-18,27703.442447067519
2016,2016-03-19,28132.163248047727
2016,2016-03-20,23880.54085820714
2016,2016-03-21,31951.622641766138
2016,2016-03-22,29023.37183182584
2016,2016-03-23,29009.648531656716
2016,2016-03-24,29204.822520926606
